country,pings,devices,pop_k
Kenya,730242,58506,54794
Nigeria,1828304,164730,225495
Greece,2009120,17150,10349
Sweden,12523323,235072,10522
Chile,16232867,1076763,19603
Singapore,17888925,975870,5766
Switzerland,18250821,498124,8843
Colombia,22593806,2342539,52033
South Africa,48436106,1043111,62797
France,81045985,2424040,66381
Germany,133701105,5751452,84401
Republic of Korea,139075033,3522490,51759
Indonesia,186304916,9756461,280026
United Kingdom,201532707,7257587,68443
Canada,392499806,17630422,39060
Mexico,471814618,27841054,129171
Brazil,1047611542,54766125,210707
United States of America,2663385593,129243555,342475
